Product no.;Product Name;Available;Purchased;EAN;Image URL;Manufacturer;Product Category;Sales price (EUR)
ZT42162-T0E0000Z;Zebra ZT421 Label Printer Thermal Transfer, 203dpi;-34;34;5704174086468;;Zebra;Label Printer;3200
1200G-2USB-1;Honeywell Voyager 1200g Scanning, USB Kit: 1D, black scanner (1200g-2);0;180;5711045229657;;Honeywell;Barcode Scanner;98
LI3678-SR3U42A0S1W;Zebra LI3678-SR - USB Kit - Barcode-Scanner;29;24;5711783849865;;Zebra;Barcode Scanner;670
DS3678-ER2F003VZWW;Zebra DS3678: Rugged, Area Imager, Extended Range, Scanner;-16;20;5711783221296;;Zebra;Barcode Scanner;850
40B90000WW;Lenovo USB-C Dual Display Travel Dock;1;0;195892097808;;Lenovo;Docking Station;96
DS8178-SR7U2100SFW;Zebra DS8178 SR Scanner USB Kit;20;0;5711783398523;;Zebra;Barcode Scanner;960
265A9UT;HP 125 Wired Mouse SmartBuy;13;0;195161439049;;HP;Mices;8
ZT51042-T0E0000Z;Zebra ZT510, Label Printer, TT, 4?, 203 dpi;-2;4;5711783936381;;Zebra;Label Printer;2990
RZ01-03580100-R3M1;Razer Viper 8khz Gaming Mouse, Wired, Black;1;0;8886419333135;;Razer;Mices;60
C31CD54012CD;Epson ColorWorks C3500 Label printer;13;0;8715946539324;;Epson;Label Printer;2130
DELL-WD19S130W;Dell WD19S (210-AZBX) - Dockingstation - 130W - EAN:5397184513972;-190;150;5397184513972;;Dell;Docking Station;270
DELL-WD19DCS;Dell Performance Dock WD19DCS (210-AZBW) 240W - EAN:5397184514009;81;20;5397184514009;;Dell;Docking Station;530
DELL-WD22TB4;Dell Thunderbolt 4 Dock 180W EAN: 5397184635629;80;20;5397184635629;;Dell;Docking Station;480
ZT42163-T0E0000Z;Zebra ZT400 6 inch, 300 dpi, 4.1/MFi, USB Host, EZPL TT Printer;0;6;5704174089414;;Zebra;Label Printer;4200
STB3678-C100F3WW;Zebra Standard Cradle For 3678 Family, Charger, Bluetooth And Multi Interface;17;0;4250494918848;;Zebra;Barcode Scanner;260
CBA-U42-S07PAR;ZEBRA CABLE - SHIELDED USB: SERIES A CONNECTOR, 7FT. (2.8M), STRAIGHT;17;0;5711783197607;;Zebra;Barcode Scanner;44
CBL-DC-451A1-01;Zebra DC CABLE FOR 3600 SERIES;19;0;5711783481041;;Zebra;Barcode Scanner;20
ZD4A042-D0EM00EZ;"Zebra Direct Thermal Printer ZD421; 203 dpi, USB";15;320;5704174466970;;Zebra;Label Printer;476
ZD4A043-30EE00EZ;"Zebra Thermal Transfer Printer (74/300M) ZD421; 300 dpi, USB";-5;60;5704174529460;;Zebra;Label Printer;670
ZD4A043-30EM00EZ;Zebra ZD421 TT Printer 300 dpi,USB,USB;-2;20;5704174529477;;Zebra;Label Printer;680
ZD6A143-30EF00EZ;"Zebra Thermal Transfer Printer (74/300M) ZD621, Color Touch LCD; 300 dpi, USB";3;0;5704174524427;;Zebra;Label Printer;1040
ZT41142-T2E0000Z;"Zebra TT Printer ZT411; 4"", 203 dpi, Euro and UK cord, Serial, USB";0;8;5704174284666;;Zebra;Label Printer;2600
20-71043-04R;Zebra Barcode Reader Stand/Holder, Black;15;0;5712505739549;;Zebra;Barcode Scanner;34
CBA-U21-S07ZBR;Zebra Cable, USB, 2.1m, straight;-122;215;5711783844679;;Zebra;Barcode Scanner;14
CR2278-PC10004WW;Zebra Presentation Cradle, BT, Midnight Black for DS2278;19;0;5704174154501;;Zebra;Barcode Scanner;120
PC45T000000200;Honeywell PC45 ThermalTransfer,LCD, Label Printer;12;0;5715063350324;;Honeywell;Label Printer;780
C31CK00131;Epson Wi-Fi, USB-C, Autocutter Thermal, Mobile printer;-1;10;8715946710600;;Epson;Receipt Printer;536
C31CK50152;Epson TM-m30III Wi-Fi and Bluetooth Model, Black Receipt printer;-326;1008;8715946703961;;Epson;Receipt Printer;398
C31CL47102;Epson TM-T20IV(102):USB+Serial+Ether,PS,Blk,EU Receipt Printer;128;0;8715946739045;;Epson;Receipt Printer;260
C31CL47101;Epson TM-T20IV (101): USB + Serial, PS, Blk, EU;7;0;8715946739038;;Epson;Receipt Printer;220
ZD4A043-D0EE00EZ;"Zebra Direct Thermal Printer ZD421; 300 dpi, USB, USB Host, Ethernet, BTLE5";-25;20;663056012993;;Zebra;Label Printer;730
C31CJ99101;Epson TM-P20II (101): Receipt, Bluetooth, USB-C;8;0;8715946709277;;Epson;Receipt Printer;396
ZT42162-T2E0000Z;Zebra ZT421 Label Printer, TT, Peeler, Rewind;-1;2;5704174330608;;Zebra;Label Printer;4800
ZD4A042-D0EW02EZ;Zebra ZD421d, Label Printer, DT, USB, Wi-Fi;-10;12;5704174524335;;Zebra;Label Printer;740
C31CK03102BK;Epson Cw-C4000E (Bk) Label Printer Inkjet Glossy ink Colour;2;0;8715946706542;;Epson;Label Printer;2570
CR0078-SC10007WR;Zebra Standard Cradle, Bluetooth, Charging, Twilight Black;9;0;0102930981364;;Zebra;Barcode Scanner;149,82
C31C163272;Epson TM-U295 Slip Printer/ White/ RS-232C;9;0;5711045342707;;Epson;Receipt Printer;494
DS8178-SR0F007ZZWW;Zebra DS8178 SR Scanner;11;0;5706998650276;;Zebra;Barcode Scanner;680
CR8178-SC100F4WW;Zebra Standard Cradle, BT, Midnight Black for DS8178;3;0;842024922278;;Zebra;Barcode Scanner;250
WCMTB-T27B6ABC2-A6;"Zebra TC27, 6.0"" Multi mode capacitive touch (1080 x 2160), Qualcomm 5430, 6GB RAM, 64GB Flash, 1D/2D";-22;48;5715063105047;;Zebra;PDA;1098,26
1301013;Yealink IP-Telefon AX83H WiFi;60;0;6938818320048;;Yealink;IP Phone;172
1303172;"Yealink RoomPanel E2 8"" Touch WLAN";5;0;6938818320833;;Yealink;Conference camera;810
DS3678-SR0F003VZWW;Zebra DS3678-SR, BT, 2D, SR, multi-IF, black, green;0;8;5711783323167;;Zebra;Barcode Scanner;800
RS21C0-TS00ZWR;Zebra RS2100 Wearable Scanner, SE4770 2D Imager;2;0;5715063669051;;Zebra;Barcode Scanner;670
C31CH63512;Epson TM-m30II-SL (512) 203 x 203 DPI Wired Thermal POS printer;18;0;8715946696621;;Epson;Receipt Printer;354
1303196;Yealink RoomPanel Plus E2;6;0;6938818321984;;Yealink;Conference camera;890
ZT41143-T2E0000Z;Zebra Product DescriptionZebra ZT400 Series ZT411 - label printer - B/W;2;0;8596375235373;;Zebra;Label Printer;3388,44
ZC32-000C000EM00;Zebra ZC300 cardprinter, Dual sided, 12 dots/mm (300 dpi), USB, Ethernet, display;8;0;5706998271426;;Zebra;Card Printer;1890
DELL-WD19S180W;Dell WD19S (210-AZBU) - Dockingstation - 180W - EAN:5397184513989;-280;250;5397184513989;;Dell;Docking Station;360
C31CD38032;Epson TM-T70II (032) 180 x 180 DPI Wired Thermal POS printer;-17;10;8715946530611;;Epson;Receipt Printer;310
ZQ32-A0E04TE-00;Zebra ZQ320 Plus Outdoor Mobile Printer - Bluetooth;3;0;5715063369395;;Zebra;Label Printer;600
NETWORK-M3;Eaton Cybersecure Gigabit NETWORK-M3 Card for UPS & PDU;64;0;786689779566;;Eaton;UPS Accessories;400
ZD4A042-30EW02EZ;"Zebra Thermal Transfer ZD421T; 203 dpi, USB";-11;20;5704174529538;;Zebra;Label Printer;730
GD4290-WH;Datalogic Gryphon I GD4290 - 1D linear imager - corded - White;5;0;5704174390961;;Datalogic;Barcode Scanner;114,78
GD4620-BKK1-HD;Datalogic Gryphon I GD4620 - 2D imager - corded - Black - HD optics - kit, USB cable;5;0;9900004236553;;Datalogic;Barcode Scanner;261,38
GD4620-HCK1-HD;Datalogic Gryphon I GD4620 - 2D imager - corded - White - HD optics - kit;18;0;9900004236768;;Datalogic;Barcode Scanner;296,44
HD3130-BK;Datalogic Heron HD3130 - 2D imager - corded - Black;19;6;5712505456767;;Datalogic;Barcode Scanner;159,72
HD3130-BKK1B;Datalogic Heron HD3130 - 2D imager - corded - Black - kit, USB cable, base/stand;32;0;5712505336786;;Datalogic;Barcode Scanner;139,92
HD3130-BKK1S;Datalogic Heron HD3130 - 2D imager - corded - Black - kit, USB cable, stand;10;0;112938567;;Datalogic;Barcode Scanner;210,56
QBT2101-BK-BTK+;Datalogic QuickScan QBT2101 - 1D linear imager - Bluetooth wireless - Black - kit;11;9;5712505696682;;Datalogic;Barcode Scanner;149,02
QD2590-BK;Datalogic QuickScan QD2590 - 2D imager - corded - Black;10;0;5704174633099;;Datalogic;Barcode Scanner;116,64
QM2131-BK-433;Datalogic QuickScan QM2131 - 1D linear imager - 433 MHz wireless - Black;3;0;5712505603505;;Datalogic;Barcode Scanner;208,14
QM2131-BK-433K2;Datalogic QuickScan QM2131 - 1D linear imager - 433 MHz wireless - Black - USB cable;5;0;4056572761135;;Datalogic;Barcode Scanner;222,32
TD1120-BK-90;Datalogic Touch TD1120 - 1D linear imager - corded - Black;28;0;5711045614798;;Datalogic;Barcode Scanner;71,96
TD1120-BK-90K1;Datalogic Touch TD1120 - 1D linear imager - corded - Black - kit, USB cable;10;0;5711045503375;;Datalogic;Barcode Scanner;71,96
TD1130-BK-65;Datalogic Touch TD1130 - 1D linear imager - corded - Black;10;0;5711045566141;;Datalogic;Barcode Scanner;85,88
TD1130-BK-90;Datalogic Touch TD1130 - 1D linear imager - corded - Black;22;0;4052923206379;;Datalogic;Barcode Scanner;98,18
TD1170-BK-90;Datalogic Touch TD1170 - 1D linear imager - corded - Black;2;0;5711045665745;;Datalogic;Barcode Scanner;71,96
CBA-U01-S07ZAR;Zebra Connection cable, USB, length: 2.1 m, straight, cable code: U01;413;0;5711045236747;;Zebra;Barcode Scanner;14
ZD23042-D0EC00EZ;Zebra Direct Thermal Printer, 203 dpi, 152 mm/s, 104 mm, USB;50;0;5704174204237;;Zebra;Label Printer;410
C31CK50151;Epson TM-m30III Wi-Fi and Bluetooth Model, White Receipt printer;-20;30;8715946703954;;Epson;Receipt Printer;398
1301086;Yealink T53, SIP deskphone;-10;8;6938818303195;;Yealink;IP Phone;160
